hex_id,residential,transport,medical,supermarkets,offices,education,parks,pharmacy_comp,cafe_comp,pvz_comp
89119ed893bffff,9,4,0,1,0,0,2,3,1,0
89119ed8977ffff,14,2,3,3,7,0,1,5,5,3
89119ec324fffff,6,2,6,1,1,0,0,6,2,0
89119ec327bffff,9,0,1,2,0,0,0,0,0,0
89119ec323bffff,7,1,0,1,4,0,3,4,1,4
89119ec3213ffff,10,0,0,3,1,0,0,2,0,1
89119ec1697ffff,9,3,1,0,0,0,0,1,0,2
89119ed89cbffff,0,3,0,2,3,0,0,0,1,0
89119ed8937ffff,4,1,0,2,0,0,1,7,9,1
89119ed8d17ffff,6,1,0,1,0,0,0,1,0,1
89119ec325bffff,2,2,1,4,0,1,0,2,2,1
89119ec32d3ffff,5,2,2,2,2,0,0,1,2,1
89119ec3233ffff,7,0,0,1,0,0,0,0,0,1
89119ec3207ffff,8,0,0,1,0,0,1,1,1,3
89119ec32cbffff,9,0,0,2,0,0,0,0,0,3
89119ed89b3ffff,12,0,0,2,3,0,0,1,1,4
89119ed8d53ffff,0,2,0,0,1,0,0,0,0,0
89119ed8d03ffff,10,0,0,2,1,0,0,0,1,1
89119ed89c3ffff,1,1,0,2,1,0,0,0,0,0
89119ed898bffff,10,2,0,1,1,0,0,1,0,2
89119ed89a7ffff,5,0,0,1,5,0,1,1,2,2
89119ed8d1bffff,6,1,0,1,0,0,0,0,1,2
89119ec14d7ffff,4,0,0,2,1,0,0,1,0,3
89119ec16bbffff,0,0,0,1,0,0,0,0,0,0
89119ec14cfffff,3,0,0,1,3,0,1,0,1,0
89119ed8dbbffff,8,2,0,2,0,0,0,0,2,1
89119ed892fffff,10,2,0,4,0,0,1,0,0,1
89119ec321bffff,9,0,0,2,2,0,0,1,0,2
89119ec144bffff,5,1,1,1,0,0,1,3,6,0
89119ed8db7ffff,3,1,0,0,1,0,0,0,0,0
89119ec14c7ffff,7,0,0,2,1,0,0,1,1,2
89119ed8dafffff,9,0,3,1,1,0,1,0,0,1
89119ec1453ffff,7,0,0,0,1,0,1,0,0,0
89119ec3223ffff,10,0,0,0,1,0,0,0,0,0
89119ed8d8fffff,0,3,0,0,0,0,0,0,0,0
89119ed8db3ffff,0,1,0,0,0,0,0,0,1,0
89119ec3243ffff,4,0,0,0,1,0,1,0,0,0
89119ed8da7ffff,14,0,0,4,0,0,0,0,0,0
89119ec1617ffff,17,0,0,1,0,0,0,1,0,1
89119ed8923ffff,11,0,0,0,3,1,0,0,0,0
89119ec1613ffff,10,2,0,1,0,0,0,1,0,0
89119ec366fffff,6,0,1,2,0,0,0,1,0,1
89119ec366bffff,4,1,0,1,0,0,0,0,0,1
89119ed89a3ffff,6,0,1,0,1,0,0,0,0,2
